Scenario;Area;Year;Age;Years
SSP2;Afghanistan;2020;25+;2.72
SSP2;Afghanistan;2025;25+;3.51
SSP2;Afghanistan;2030;25+;4.31
SSP2;Afghanistan;2035;25+;5.09
SSP2;Afghanistan;2040;25+;5.84
SSP2;Afghanistan;2045;25+;6.58
SSP2;Afghanistan;2050;25+;7.28
SSP2;Afghanistan;2055;25+;7.94
SSP2;Afghanistan;2060;25+;8.56
SSP2;Afghanistan;2065;25+;9.13
SSP2;Afghanistan;2070;25+;9.65
SSP2;Afghanistan;2075;25+;10.13
SSP2;Afghanistan;2080;25+;10.57
SSP2;Afghanistan;2085;25+;10.97
SSP2;Afghanistan;2090;25+;11.33
SSP2;Afghanistan;2095;25+;11.65
SSP2;Afghanistan;2100;25+;11.95
SSP2;Albania;2020;25+;10.13
SSP2;Albania;2025;25+;10.51
SSP2;Albania;2030;25+;10.78
SSP2;Albania;2035;25+;11.01
SSP2;Albania;2040;25+;11.23
SSP2;Albania;2045;25+;11.43
SSP2;Albania;2050;25+;11.65
SSP2;Albania;2055;25+;11.86
SSP2;Albania;2060;25+;12.06
SSP2;Albania;2065;25+;12.26
SSP2;Albania;2070;25+;12.48
SSP2;Albania;2075;25+;12.7
SSP2;Albania;2080;25+;12.93
SSP2;Albania;2085;25+;13.15
SSP2;Albania;2090;25+;13.36
SSP2;Albania;2095;25+;13.54
SSP2;Albania;2100;25+;13.71
SSP2;Algeria;2020;25+;8.71
SSP2;Algeria;2025;25+;9.19
SSP2;Algeria;2030;25+;9.62
SSP2;Algeria;2035;25+;10.08
SSP2;Algeria;2040;25+;10.56
SSP2;Algeria;2045;25+;11.01
SSP2;Algeria;2050;25+;11.41
SSP2;Algeria;2055;25+;11.75
SSP2;Algeria;2060;25+;12.07
SSP2;Algeria;2065;25+;12.37
SSP2;Algeria;2070;25+;12.66
SSP2;Algeria;2075;25+;12.93
SSP2;Algeria;2080;25+;13.17
SSP2;Algeria;2085;25+;13.39
SSP2;Algeria;2090;25+;13.58
SSP2;Algeria;2095;25+;13.75
SSP2;Algeria;2100;25+;13.92
SSP2;Angola;2020;25+;3.14
SSP2;Angola;2025;25+;3.81
SSP2;Angola;2030;25+;4.69
SSP2;Angola;2035;25+;5.59
SSP2;Angola;2040;25+;6.44
SSP2;Angola;2045;25+;7.21
SSP2;Angola;2050;25+;7.88
SSP2;Angola;2055;25+;8.46
SSP2;Angola;2060;25+;8.97
SSP2;Angola;2065;25+;9.41
SSP2;Angola;2070;25+;9.79
SSP2;Angola;2075;25+;10.11
SSP2;Angola;2080;25+;10.38
SSP2;Angola;2085;25+;10.61
SSP2;Angola;2090;25+;10.81
SSP2;Angola;2095;25+;10.97
SSP2;Angola;2100;25+;11.12
SSP2;Antigua and Barbuda;2020;25+;10.44
SSP2;Antigua and Barbuda;2025;25+;10.74
SSP2;Antigua and Barbuda;2030;25+;11
SSP2;Antigua and Barbuda;2035;25+;11.26
SSP2;Antigua and Barbuda;2040;25+;11.5
SSP2;Antigua and Barbuda;2045;25+;11.72
SSP2;Antigua and Barbuda;2050;25+;11.95
SSP2;Antigua and Barbuda;2055;25+;12.16
SSP2;Antigua and Barbuda;2060;25+;12.38
SSP2;Antigua and Barbuda;2065;25+;12.59
SSP2;Antigua and Barbuda;2070;25+;12.78
SSP2;Antigua and Barbuda;2075;25+;12.97
SSP2;Antigua and Barbuda;2080;25+;13.14
SSP2;Antigua and Barbuda;2085;25+;13.31
SSP2;Antigua and Barbuda;2090;25+;13.48
SSP2;Antigua and Barbuda;2095;25+;13.63
SSP2;Antigua and Barbuda;2100;25+;13.78
SSP2;Argentina;2020;25+;9.88
SSP2;Argentina;2025;25+;10.14
SSP2;Argentina;2030;25+;10.37
SSP2;Argentina;2035;25+;10.6
SSP2;Argentina;2040;25+;10.82
SSP2;Argentina;2045;25+;11.01
SSP2;Argentina;2050;25+;11.18
SSP2;Argentina;2055;25+;11.34
SSP2;Argentina;2060;25+;11.49
SSP2;Argentina;2065;25+;11.63
SSP2;Argentina;2070;25+;11.78
SSP2;Argentina;2075;25+;11.92
SSP2;Argentina;2080;25+;12.05
SSP2;Argentina;2085;25+;12.18
SSP2;Argentina;2090;25+;12.31
SSP2;Argentina;2095;25+;12.43
SSP2;Argentina;2100;25+;12.54
SSP2;Armenia;2020;25+;11.02
SSP2;Armenia;2025;25+;11.27
SSP2;Armenia;2030;25+;11.47
SSP2;Armenia;2035;25+;11.68
SSP2;Armenia;2040;25+;11.92
SSP2;Armenia;2045;25+;12.15
SSP2;Armenia;2050;25+;12.38
SSP2;Armenia;2055;25+;12.59
SSP2;Armenia;2060;25+;12.8
SSP2;Armenia;2065;25+;13.02
SSP2;Armenia;2070;25+;13.24
SSP2;Armenia;2075;25+;13.47
SSP2;Armenia;2080;25+;13.69
SSP2;Armenia;2085;25+;13.9
SSP2;Armenia;2090;25+;14.07
SSP2;Armenia;2095;25+;14.21
SSP2;Armenia;2100;25+;14.32
SSP2;Aruba;2020;25+;9.14
SSP2;Aruba;2025;25+;9.42
SSP2;Aruba;2030;25+;9.73
SSP2;Aruba;2035;25+;10.05
SSP2;Aruba;2040;25+;10.34
SSP2;Aruba;2045;25+;10.62
SSP2;Aruba;2050;25+;10.88
SSP2;Aruba;2055;25+;11.13
SSP2;Aruba;2060;25+;11.38
SSP2;Aruba;2065;25+;11.61
SSP2;Aruba;2070;25+;11.83
SSP2;Aruba;2075;25+;12.05
SSP2;Aruba;2080;25+;12.25
SSP2;Aruba;2085;25+;12.44
SSP2;Aruba;2090;25+;12.62
SSP2;Aruba;2095;25+;12.79
SSP2;Aruba;2100;25+;12.95
SSP2;Australia;2020;25+;12.92
SSP2;Australia;2025;25+;13.13
SSP2;Australia;2030;25+;13.3
SSP2;Australia;2035;25+;13.46
SSP2;Australia;2040;25+;13.6
SSP2;Australia;2045;25+;13.73
SSP2;Australia;2050;25+;13.84
SSP2;Australia;2055;25+;13.95
SSP2;Australia;2060;25+;14.05
SSP2;Australia;2065;25+;14.14
SSP2;Australia;2070;25+;14.21
SSP2;Australia;2075;25+;14.27
SSP2;Australia;2080;25+;14.32
SSP2;Australia;2085;25+;14.36
SSP2;Australia;2090;25+;14.4
SSP2;Australia;2095;25+;14.44
SSP2;Australia;2100;25+;14.47
SSP2;Austria;2020;25+;11.58
SSP2;Austria;2025;25+;11.77
SSP2;Austria;2030;25+;11.92
SSP2;Austria;2035;25+;12.05
SSP2;Austria;2040;25+;12.17
SSP2;Austria;2045;25+;12.28
SSP2;Austria;2050;25+;12.38
SSP2;Austria;2055;25+;12.47
SSP2;Austria;2060;25+;12.57
SSP2;Austria;2065;25+;12.66
SSP2;Austria;2070;25+;12.75
SSP2;Austria;2075;25+;12.84
SSP2;Austria;2080;25+;12.93
SSP2;Austria;2085;25+;13.01
SSP2;Austria;2090;25+;13.09
SSP2;Austria;2095;25+;13.16
SSP2;Austria;2100;25+;13.23
SSP2;Azerbaijan;2020;25+;11.01
SSP2;Azerbaijan;2025;25+;11.18
SSP2;Azerbaijan;2030;25+;11.31
SSP2;Azerbaijan;2035;25+;11.45
SSP2;Azerbaijan;2040;25+;11.6
SSP2;Azerbaijan;2045;25+;11.74
SSP2;Azerbaijan;2050;25+;11.86
SSP2;Azerbaijan;2055;25+;11.99
SSP2;Azerbaijan;2060;25+;12.11
SSP2;Azerbaijan;2065;25+;12.22
SSP2;Azerbaijan;2070;25+;12.33
SSP2;Azerbaijan;2075;25+;12.43
SSP2;Azerbaijan;2080;25+;12.53
SSP2;Azerbaijan;2085;25+;12.63
SSP2;Azerbaijan;2090;25+;12.73
SSP2;Azerbaijan;2095;25+;12.83
SSP2;Azerbaijan;2100;25+;12.93
SSP2;Bahamas;2020;25+;12.75
SSP2;Bahamas;2025;25+;12.93
SSP2;Bahamas;2030;25+;13.08
SSP2;Bahamas;2035;25+;13.21
SSP2;Bahamas;2040;25+;13.32
SSP2;Bahamas;2045;25+;13.42
SSP2;Bahamas;2050;25+;13.51
SSP2;Bahamas;2055;25+;13.6
SSP2;Bahamas;2060;25+;13.69
SSP2;Bahamas;2065;25+;13.78
SSP2;Bahamas;2070;25+;13.88
SSP2;Bahamas;2075;25+;13.97
SSP2;Bahamas;2080;25+;14.06
SSP2;Bahamas;2085;25+;14.15
SSP2;Bahamas;2090;25+;14.24
SSP2;Bahamas;2095;25+;14.33
SSP2;Bahamas;2100;25+;14.41
SSP2;Bahrain;2020;25+;9.54
SSP2;Bahrain;2025;25+;9.78
SSP2;Bahrain;2030;25+;10
SSP2;Bahrain;2035;25+;10.23
SSP2;Bahrain;2040;25+;10.46
SSP2;Bahrain;2045;25+;10.7
SSP2;Bahrain;2050;25+;10.91
SSP2;Bahrain;2055;25+;11.12
SSP2;Bahrain;2060;25+;11.33
SSP2;Bahrain;2065;25+;11.55
SSP2;Bahrain;2070;25+;11.77
SSP2;Bahrain;2075;25+;11.99
SSP2;Bahrain;2080;25+;12.2
SSP2;Bahrain;2085;25+;12.39
SSP2;Bahrain;2090;25+;12.55
SSP2;Bahrain;2095;25+;12.67
SSP2;Bahrain;2100;25+;12.78
SSP2;Bangladesh;2020;25+;5.23
SSP2;Bangladesh;2025;25+;5.81
SSP2;Bangladesh;2030;25+;6.41
SSP2;Bangladesh;2035;25+;6.98
SSP2;Bangladesh;2040;25+;7.5
SSP2;Bangladesh;2045;25+;8.02
SSP2;Bangladesh;2050;25+;8.53
SSP2;Bangladesh;2055;25+;9.02
SSP2;Bangladesh;2060;25+;9.49
SSP2;Bangladesh;2065;25+;9.93
SSP2;Bangladesh;2070;25+;10.36
SSP2;Bangladesh;2075;25+;10.77
SSP2;Bangladesh;2080;25+;11.16
SSP2;Bangladesh;2085;25+;11.54
SSP2;Bangladesh;2090;25+;11.88
SSP2;Bangladesh;2095;25+;12.2
SSP2;Bangladesh;2100;25+;12.49
SSP2;Barbados;2020;25+;9.77
SSP2;Barbados;2025;25+;10.08
SSP2;Barbados;2030;25+;10.36
SSP2;Barbados;2035;25+;10.61
SSP2;Barbados;2040;25+;10.84
SSP2;Barbados;2045;25+;11.06
SSP2;Barbados;2050;25+;11.27
SSP2;Barbados;2055;25+;11.47
SSP2;Barbados;2060;25+;11.65
SSP2;Barbados;2065;25+;11.81
SSP2;Barbados;2070;25+;11.96
SSP2;Barbados;2075;25+;12.09
SSP2;Barbados;2080;25+;12.21
SSP2;Barbados;2085;25+;12.32
SSP2;Barbados;2090;25+;12.43
SSP2;Barbados;2095;25+;12.54
SSP2;Barbados;2100;25+;12.64
SSP2;Belarus;2020;25+;11.35
SSP2;Belarus;2025;25+;11.57
SSP2;Belarus;2030;25+;11.74
SSP2;Belarus;2035;25+;11.89
SSP2;Belarus;2040;25+;12.04
SSP2;Belarus;2045;25+;12.18
SSP2;Belarus;2050;25+;12.3
SSP2;Belarus;2055;25+;12.42
SSP2;Belarus;2060;25+;12.52
SSP2;Belarus;2065;25+;12.62
SSP2;Belarus;2070;25+;12.71
SSP2;Belarus;2075;25+;12.8
SSP2;Belarus;2080;25+;12.88
SSP2;Belarus;2085;25+;12.96
SSP2;Belarus;2090;25+;13.04
SSP2;Belarus;2095;25+;13.12
SSP2;Belarus;2100;25+;13.19
SSP2;Belgium;2020;25+;11.17
SSP2;Belgium;2025;25+;11.44
SSP2;Belgium;2030;25+;11.68
SSP2;Belgium;2035;25+;11.89
SSP2;Belgium;2040;25+;12.07
SSP2;Belgium;2045;25+;12.23
SSP2;Belgium;2050;25+;12.37
SSP2;Belgium;2055;25+;12.5
SSP2;Belgium;2060;25+;12.62
SSP2;Belgium;2065;25+;12.72
SSP2;Belgium;2070;25+;12.82
SSP2;Belgium;2075;25+;12.91
SSP2;Belgium;2080;25+;13
SSP2;Belgium;2085;25+;13.08
SSP2;Belgium;2090;25+;13.16
SSP2;Belgium;2095;25+;13.23
SSP2;Belgium;2100;25+;13.29
SSP2;Belize;2020;25+;8.35
SSP2;Belize;2025;25+;8.72
SSP2;Belize;2030;25+;9.08
SSP2;Belize;2035;25+;9.41
SSP2;Belize;2040;25+;9.72
SSP2;Belize;2045;25+;10.02
SSP2;Belize;2050;25+;10.31
SSP2;Belize;2055;25+;10.58
SSP2;Belize;2060;25+;10.83
SSP2;Belize;2065;25+;11.06
SSP2;Belize;2070;25+;11.28
SSP2;Belize;2075;25+;11.49
SSP2;Belize;2080;25+;11.69
SSP2;Belize;2085;25+;11.89
SSP2;Belize;2090;25+;12.07
SSP2;Belize;2095;25+;12.23
SSP2;Belize;2100;25+;12.38
SSP2;Benin;2020;25+;4.13
SSP2;Benin;2025;25+;4.95
SSP2;Benin;2030;25+;5.78
SSP2;Benin;2035;25+;6.6
SSP2;Benin;2040;25+;7.4
SSP2;Benin;2045;25+;8.17
SSP2;Benin;2050;25+;8.88
SSP2;Benin;2055;25+;9.51
SSP2;Benin;2060;25+;10.07
SSP2;Benin;2065;25+;10.56
SSP2;Benin;2070;25+;11
SSP2;Benin;2075;25+;11.38
SSP2;Benin;2080;25+;11.71
SSP2;Benin;2085;25+;11.99
SSP2;Benin;2090;25+;12.24
SSP2;Benin;2095;25+;12.46
SSP2;Benin;2100;25+;12.66
SSP2;Bhutan;2020;25+;5.19
SSP2;Bhutan;2025;25+;6.21
SSP2;Bhutan;2030;25+;7.14
SSP2;Bhutan;2035;25+;7.95
SSP2;Bhutan;2040;25+;8.7
SSP2;Bhutan;2045;25+;9.33
SSP2;Bhutan;2050;25+;9.94
SSP2;Bhutan;2055;25+;10.52
SSP2;Bhutan;2060;25+;11.07
SSP2;Bhutan;2065;25+;11.61
SSP2;Bhutan;2070;25+;12.12
SSP2;Bhutan;2075;25+;12.59
SSP2;Bhutan;2080;25+;13.02
SSP2;Bhutan;2085;25+;13.4
SSP2;Bhutan;2090;25+;13.72
SSP2;Bhutan;2095;25+;14
SSP2;Bhutan;2100;25+;14.24
SSP2;Bolivia (Plurinational State of);2020;25+;8.92
SSP2;Bolivia (Plurinational State of);2025;25+;9.51
SSP2;Bolivia (Plurinational State of);2030;25+;9.98
SSP2;Bolivia (Plurinational State of);2035;25+;10.41
SSP2;Bolivia (Plurinational State of);2040;25+;10.79
SSP2;Bolivia (Plurinational State of);2045;25+;11.12
SSP2;Bolivia (Plurinational State of);2050;25+;11.41
SSP2;Bolivia (Plurinational State of);2055;25+;11.66
SSP2;Bolivia (Plurinational State of);2060;25+;11.89
SSP2;Bolivia (Plurinational State of);2065;25+;12.08
SSP2;Bolivia (Plurinational State of);2070;25+;12.25
SSP2;Bolivia (Plurinational State of);2075;25+;12.4
SSP2;Bolivia (Plurinational State of);2080;25+;12.52
SSP2;Bolivia (Plurinational State of);2085;25+;12.63
SSP2;Bolivia (Plurinational State of);2090;25+;12.73
SSP2;Bolivia (Plurinational State of);2095;25+;12.82
SSP2;Bolivia (Plurinational State of);2100;25+;12.9
SSP2;Bosnia and Herzegovina;2020;25+;10.8
SSP2;Bosnia and Herzegovina;2025;25+;11.24
SSP2;Bosnia and Herzegovina;2030;25+;11.55
SSP2;Bosnia and Herzegovina;2035;25+;11.81
SSP2;Bosnia and Herzegovina;2040;25+;12.06
SSP2;Bosnia and Herzegovina;2045;25+;12.29
SSP2;Bosnia and Herzegovina;2050;25+;12.49
SSP2;Bosnia and Herzegovina;2055;25+;12.68
SSP2;Bosnia and Herzegovina;2060;25+;12.86
SSP2;Bosnia and Herzegovina;2065;25+;13.02
SSP2;Bosnia and Herzegovina;2070;25+;13.18
SSP2;Bosnia and Herzegovina;2075;25+;13.33
SSP2;Bosnia and Herzegovina;2080;25+;13.47
SSP2;Bosnia and Herzegovina;2085;25+;13.58
SSP2;Bosnia and Herzegovina;2090;25+;13.68
SSP2;Bosnia and Herzegovina;2095;25+;13.75
SSP2;Bosnia and Herzegovina;2100;25+;13.83
SSP2;Botswana;2020;25+;9.32
SSP2;Botswana;2025;25+;9.83
SSP2;Botswana;2030;25+;10.28
SSP2;Botswana;2035;25+;10.68
SSP2;Botswana;2040;25+;11.03
SSP2;Botswana;2045;25+;11.34
SSP2;Botswana;2050;25+;11.6
SSP2;Botswana;2055;25+;11.83
SSP2;Botswana;2060;25+;12.03
SSP2;Botswana;2065;25+;12.2
SSP2;Botswana;2070;25+;12.35
SSP2;Botswana;2075;25+;12.49
SSP2;Botswana;2080;25+;12.61
SSP2;Botswana;2085;25+;12.71
SSP2;Botswana;2090;25+;12.81
SSP2;Botswana;2095;25+;12.89
SSP2;Botswana;2100;25+;12.98
SSP2;Brazil;2020;25+;7.57
SSP2;Brazil;2025;25+;7.99
SSP2;Brazil;2030;25+;8.37
SSP2;Brazil;2035;25+;8.73
SSP2;Brazil;2040;25+;9.06
SSP2;Brazil;2045;25+;9.37
SSP2;Brazil;2050;25+;9.66
SSP2;Brazil;2055;25+;9.93
SSP2;Brazil;2060;25+;10.19
SSP2;Brazil;2065;25+;10.43
SSP2;Brazil;2070;25+;10.65
SSP2;Brazil;2075;25+;10.86
SSP2;Brazil;2080;25+;11.04
SSP2;Brazil;2085;25+;11.21
SSP2;Brazil;2090;25+;11.36
SSP2;Brazil;2095;25+;11.48
SSP2;Brazil;2100;25+;11.59
SSP2;Brunei Darussalam;2020;25+;9.61
SSP2;Brunei Darussalam;2025;25+;10
SSP2;Brunei Darussalam;2030;25+;10.38
SSP2;Brunei Darussalam;2035;25+;10.74
SSP2;Brunei Darussalam;2040;25+;11.11
SSP2;Brunei Darussalam;2045;25+;11.46
SSP2;Brunei Darussalam;2050;25+;11.78
SSP2;Brunei Darussalam;2055;25+;12.09
SSP2;Brunei Darussalam;2060;25+;12.39
SSP2;Brunei Darussalam;2065;25+;12.67
SSP2;Brunei Darussalam;2070;25+;12.95
SSP2;Brunei Darussalam;2075;25+;13.22
SSP2;Brunei Darussalam;2080;25+;13.47
SSP2;Brunei Darussalam;2085;25+;13.71
SSP2;Brunei Darussalam;2090;25+;13.92
SSP2;Brunei Darussalam;2095;25+;14.12
SSP2;Brunei Darussalam;2100;25+;14.29
SSP2;Bulgaria;2020;25+;10.77
SSP2;Bulgaria;2025;25+;11
SSP2;Bulgaria;2030;25+;11.18
SSP2;Bulgaria;2035;25+;11.35
SSP2;Bulgaria;2040;25+;11.51
SSP2;Bulgaria;2045;25+;11.67
SSP2;Bulgaria;2050;25+;11.82
SSP2;Bulgaria;2055;25+;11.96
SSP2;Bulgaria;2060;25+;12.12
SSP2;Bulgaria;2065;25+;12.27
SSP2;Bulgaria;2070;25+;12.42
SSP2;Bulgaria;2075;25+;12.56
SSP2;Bulgaria;2080;25+;12.67
SSP2;Bulgaria;2085;25+;12.76
SSP2;Bulgaria;2090;25+;12.84
SSP2;Bulgaria;2095;25+;12.9
SSP2;Bulgaria;2100;25+;12.96
SSP2;Burkina Faso;2020;25+;1.78
SSP2;Burkina Faso;2025;25+;2.09
SSP2;Burkina Faso;2030;25+;2.45
SSP2;Burkina Faso;2035;25+;2.89
SSP2;Burkina Faso;2040;25+;3.37
SSP2;Burkina Faso;2045;25+;3.87
SSP2;Burkina Faso;2050;25+;4.39
SSP2;Burkina Faso;2055;25+;4.92
SSP2;Burkina Faso;2060;25+;5.45
SSP2;Burkina Faso;2065;25+;5.98
SSP2;Burkina Faso;2070;25+;6.5
SSP2;Burkina Faso;2075;25+;6.99
SSP2;Burkina Faso;2080;25+;7.46
SSP2;Burkina Faso;2085;25+;7.91
SSP2;Burkina Faso;2090;25+;8.34
SSP2;Burkina Faso;2095;25+;8.74
SSP2;Burkina Faso;2100;25+;9.13
SSP2;Burundi;2020;25+;3.72
SSP2;Burundi;2025;25+;4.12
SSP2;Burundi;2030;25+;4.57
SSP2;Burundi;2035;25+;5.07
SSP2;Burundi;2040;25+;5.59
SSP2;Burundi;2045;25+;6.07
SSP2;Burundi;2050;25+;6.52
SSP2;Burundi;2055;25+;6.96
SSP2;Burundi;2060;25+;7.4
SSP2;Burundi;2065;25+;7.83
SSP2;Burundi;2070;25+;8.25
SSP2;Burundi;2075;25+;8.65
SSP2;Burundi;2080;25+;9.02
SSP2;Burundi;2085;25+;9.38
SSP2;Burundi;2090;25+;9.73
SSP2;Burundi;2095;25+;10.06
SSP2;Burundi;2100;25+;10.38
SSP2;Cambodia;2020;25+;5.07
SSP2;Cambodia;2025;25+;5.5
SSP2;Cambodia;2030;25+;5.97
SSP2;Cambodia;2035;25+;6.47
SSP2;Cambodia;2040;25+;6.99
SSP2;Cambodia;2045;25+;7.49
SSP2;Cambodia;2050;25+;7.98
SSP2;Cambodia;2055;25+;8.45
SSP2;Cambodia;2060;25+;8.92
SSP2;Cambodia;2065;25+;9.37
SSP2;Cambodia;2070;25+;9.81
SSP2;Cambodia;2075;25+;10.23
SSP2;Cambodia;2080;25+;10.64
SSP2;Cambodia;2085;25+;11.04
SSP2;Cambodia;2090;25+;11.41
SSP2;Cambodia;2095;25+;11.76
SSP2;Cambodia;2100;25+;12.1
SSP2;Cameroon;2020;25+;7.23
SSP2;Cameroon;2025;25+;7.8
SSP2;Cameroon;2030;25+;8.38
SSP2;Cameroon;2035;25+;8.94
SSP2;Cameroon;2040;25+;9.48
SSP2;Cameroon;2045;25+;9.99
SSP2;Cameroon;2050;25+;10.46
SSP2;Cameroon;2055;25+;10.89
SSP2;Cameroon;2060;25+;11.28
SSP2;Cameroon;2065;25+;11.64
SSP2;Cameroon;2070;25+;11.98
SSP2;Cameroon;2075;25+;12.28
SSP2;Cameroon;2080;25+;12.56
SSP2;Cameroon;2085;25+;12.81
SSP2;Cameroon;2090;25+;13.05
SSP2;Cameroon;2095;25+;13.26
SSP2;Cameroon;2100;25+;13.46
SSP2;Canada;2020;25+;12.72
SSP2;Canada;2025;25+;12.83
SSP2;Canada;2030;25+;12.92
SSP2;Canada;2035;25+;13
SSP2;Canada;2040;25+;13.06
SSP2;Canada;2045;25+;13.12
SSP2;Canada;2050;25+;13.18
SSP2;Canada;2055;25+;13.22
SSP2;Canada;2060;25+;13.27
SSP2;Canada;2065;25+;13.31
SSP2;Canada;2070;25+;13.35
SSP2;Canada;2075;25+;13.39
SSP2;Canada;2080;25+;13.42
SSP2;Canada;2085;25+;13.46
SSP2;Canada;2090;25+;13.5
SSP2;Canada;2095;25+;13.53
SSP2;Canada;2100;25+;13.56
SSP2;Cape Verde;2020;25+;6.88
SSP2;Cape Verde;2025;25+;7.49
SSP2;Cape Verde;2030;25+;7.97
SSP2;Cape Verde;2035;25+;8.41
SSP2;Cape Verde;2040;25+;8.8
SSP2;Cape Verde;2045;25+;9.17
SSP2;Cape Verde;2050;25+;9.52
SSP2;Cape Verde;2055;25+;9.85
SSP2;Cape Verde;2060;25+;10.16
SSP2;Cape Verde;2065;25+;10.45
SSP2;Cape Verde;2070;25+;10.73
SSP2;Cape Verde;2075;25+;10.99
SSP2;Cape Verde;2080;25+;11.24
SSP2;Cape Verde;2085;25+;11.47
SSP2;Cape Verde;2090;25+;11.68
SSP2;Cape Verde;2095;25+;11.88
SSP2;Cape Verde;2100;25+;12.06
SSP2;Central African Republic;2020;25+;4.04
SSP2;Central African Republic;2025;25+;4.4
SSP2;Central African Republic;2030;25+;4.67
SSP2;Central African Republic;2035;25+;5
SSP2;Central African Republic;2040;25+;5.38
SSP2;Central African Republic;2045;25+;5.81
SSP2;Central African Republic;2050;25+;6.28
SSP2;Central African Republic;2055;25+;6.78
SSP2;Central African Republic;2060;25+;7.28
SSP2;Central African Republic;2065;25+;7.76
SSP2;Central African Republic;2070;25+;8.23
SSP2;Central African Republic;2075;25+;8.69
SSP2;Central African Republic;2080;25+;9.14
SSP2;Central African Republic;2085;25+;9.57
SSP2;Central African Republic;2090;25+;9.98
SSP2;Central African Republic;2095;25+;10.38
SSP2;Central African Republic;2100;25+;10.75
SSP2;Chad;2020;25+;3.09
SSP2;Chad;2025;25+;3.54
SSP2;Chad;2030;25+;4.07
SSP2;Chad;2035;25+;4.69
SSP2;Chad;2040;25+;5.35
SSP2;Chad;2045;25+;6.03
SSP2;Chad;2050;25+;6.69
SSP2;Chad;2055;25+;7.32
SSP2;Chad;2060;25+;7.92
SSP2;Chad;2065;25+;8.46
SSP2;Chad;2070;25+;8.96
SSP2;Chad;2075;25+;9.42
SSP2;Chad;2080;25+;9.85
SSP2;Chad;2085;25+;10.23
SSP2;Chad;2090;25+;10.58
SSP2;Chad;2095;25+;10.91
SSP2;Chad;2100;25+;11.21
SSP2;Chile;2020;25+;11.43
SSP2;Chile;2025;25+;11.8
SSP2;Chile;2030;25+;12.1
SSP2;Chile;2035;25+;12.37
SSP2;Chile;2040;25+;12.63
SSP2;Chile;2045;25+;12.86
SSP2;Chile;2050;25+;13.06
SSP2;Chile;2055;25+;13.25
SSP2;Chile;2060;25+;13.43
SSP2;Chile;2065;25+;13.58
SSP2;Chile;2070;25+;13.73
SSP2;Chile;2075;25+;13.86
SSP2;Chile;2080;25+;13.99
SSP2;Chile;2085;25+;14.11
SSP2;Chile;2090;25+;14.22
SSP2;Chile;2095;25+;14.33
SSP2;Chile;2100;25+;14.42
SSP2;China;2020;25+;8.31
SSP2;China;2025;25+;8.72
SSP2;China;2030;25+;9.12
SSP2;China;2035;25+;9.53
SSP2;China;2040;25+;9.96
SSP2;China;2045;25+;10.36
SSP2;China;2050;25+;10.7
SSP2;China;2055;25+;11.04
SSP2;China;2060;25+;11.37
SSP2;China;2065;25+;11.72
SSP2;China;2070;25+;12.04
SSP2;China;2075;25+;12.34
SSP2;China;2080;25+;12.6
SSP2;China;2085;25+;12.82
SSP2;China;2090;25+;13
SSP2;China;2095;25+;13.13
SSP2;China;2100;25+;13.24
SSP2;Colombia;2020;25+;8.14
SSP2;Colombia;2025;25+;8.56
SSP2;Colombia;2030;25+;8.92
SSP2;Colombia;2035;25+;9.24
SSP2;Colombia;2040;25+;9.54
SSP2;Colombia;2045;25+;9.83
SSP2;Colombia;2050;25+;10.1
SSP2;Colombia;2055;25+;10.35
SSP2;Colombia;2060;25+;10.58
SSP2;Colombia;2065;25+;10.8
SSP2;Colombia;2070;25+;10.99
SSP2;Colombia;2075;25+;11.17
SSP2;Colombia;2080;25+;11.33
SSP2;Colombia;2085;25+;11.48
SSP2;Colombia;2090;25+;11.6
SSP2;Colombia;2095;25+;11.71
SSP2;Colombia;2100;25+;11.8
SSP2;Comoros;2020;25+;6.3
SSP2;Comoros;2025;25+;7.24
SSP2;Comoros;2030;25+;8.08
SSP2;Comoros;2035;25+;8.87
SSP2;Comoros;2040;25+;9.61
SSP2;Comoros;2045;25+;10.27
SSP2;Comoros;2050;25+;10.86
SSP2;Comoros;2055;25+;11.38
SSP2;Comoros;2060;25+;11.85
SSP2;Comoros;2065;25+;12.27
SSP2;Comoros;2070;25+;12.65
SSP2;Comoros;2075;25+;12.99
SSP2;Comoros;2080;25+;13.29
SSP2;Comoros;2085;25+;13.56
SSP2;Comoros;2090;25+;13.8
SSP2;Comoros;2095;25+;14.02
SSP2;Comoros;2100;25+;14.22
SSP2;Congo;2020;25+;7.98
SSP2;Congo;2025;25+;8.24
SSP2;Congo;2030;25+;8.5
SSP2;Congo;2035;25+;8.79
SSP2;Congo;2040;25+;9.09
SSP2;Congo;2045;25+;9.37
SSP2;Congo;2050;25+;9.66
SSP2;Congo;2055;25+;9.94
SSP2;Congo;2060;25+;10.23
SSP2;Congo;2065;25+;10.52
SSP2;Congo;2070;25+;10.79
SSP2;Congo;2075;25+;11.06
SSP2;Congo;2080;25+;11.32
SSP2;Congo;2085;25+;11.57
SSP2;Congo;2090;25+;11.82
SSP2;Congo;2095;25+;12.05
SSP2;Congo;2100;25+;12.28
SSP2;Costa Rica;2020;25+;8.87
SSP2;Costa Rica;2025;25+;9.19
SSP2;Costa Rica;2030;25+;9.49
SSP2;Costa Rica;2035;25+;9.78
SSP2;Costa Rica;2040;25+;10.05
