Scenario;Area;Period;Sex;Years
SSP1;Aruba;2045-2050;Male;83.3
SSP1;Aruba;2050-2055;Male;85
SSP1;Aruba;2055-2060;Male;86.7
SSP1;Aruba;2060-2065;Male;88.4
SSP1;Aruba;2065-2070;Male;90.1
SSP1;Aruba;2070-2075;Male;91.8
SSP1;Aruba;2075-2080;Male;93.4
SSP1;Aruba;2080-2085;Male;95.1
SSP1;Aruba;2085-2090;Male;96.6
SSP1;Aruba;2090-2095;Male;97.9
SSP1;Aruba;2095-2100;Male;99.1
SSP1;Australia;2020-2025;Male;83.2
SSP1;Australia;2025-2030;Male;84.2
SSP1;Australia;2030-2035;Male;85.8
SSP1;Australia;2035-2040;Male;87.3
SSP1;Australia;2040-2045;Male;88.9
SSP1;Australia;2045-2050;Male;90.4
SSP1;Australia;2050-2055;Male;92
SSP1;Australia;2055-2060;Male;93.5
SSP1;Australia;2060-2065;Male;95.1
SSP1;Australia;2065-2070;Male;96.5
SSP1;Australia;2070-2075;Male;97.8
SSP1;Australia;2075-2080;Male;99
SSP1;Australia;2080-2085;Male;100
SSP1;Australia;2085-2090;Male;100.7
SSP1;Australia;2090-2095;Male;100.8
SSP1;Australia;2095-2100;Male;100.8
SSP1;Austria;2020-2025;Male;80.5
SSP1;Austria;2025-2030;Male;82.4
SSP1;Austria;2030-2035;Male;84
SSP1;Austria;2035-2040;Male;85.6
SSP1;Austria;2040-2045;Male;87.2
SSP1;Austria;2045-2050;Male;88.8
SSP1;Austria;2050-2055;Male;90.5
SSP1;Austria;2055-2060;Male;92.1
SSP1;Austria;2060-2065;Male;93.6
SSP1;Austria;2065-2070;Male;95.2
SSP1;Austria;2070-2075;Male;96.7
SSP1;Austria;2075-2080;Male;98
SSP1;Austria;2080-2085;Male;99.3
SSP1;Austria;2085-2090;Male;100.2
SSP1;Austria;2090-2095;Male;100.3
SSP1;Austria;2095-2100;Male;100.3
SSP1;Azerbaijan;2020-2025;Male;68.4
SSP1;Azerbaijan;2025-2030;Male;72.2
SSP1;Azerbaijan;2030-2035;Male;73.8
SSP1;Azerbaijan;2035-2040;Male;75.3
SSP1;Azerbaijan;2040-2045;Male;76.8
SSP1;Azerbaijan;2045-2050;Male;78.4
SSP1;Azerbaijan;2050-2055;Male;79.9
SSP1;Azerbaijan;2055-2060;Male;81.4
SSP1;Azerbaijan;2060-2065;Male;83
SSP1;Azerbaijan;2065-2070;Male;84.5
SSP1;Azerbaijan;2070-2075;Male;86.1
SSP1;Azerbaijan;2075-2080;Male;87.6
SSP1;Azerbaijan;2080-2085;Male;89.1
SSP1;Azerbaijan;2085-2090;Male;90.6
SSP1;Azerbaijan;2090-2095;Male;92.1
SSP1;Azerbaijan;2095-2100;Male;93.6
SSP1;Bahamas;2020-2025;Male;70.8
SSP1;Bahamas;2025-2030;Male;73.3
SSP1;Bahamas;2030-2035;Male;75
SSP1;Bahamas;2035-2040;Male;76.8
SSP1;Bahamas;2040-2045;Male;78.5
SSP1;Bahamas;2045-2050;Male;80.3
SSP1;Bahamas;2050-2055;Male;82
SSP1;Bahamas;2055-2060;Male;83.8
SSP1;Bahamas;2060-2065;Male;85.5
SSP1;Bahamas;2065-2070;Male;87.2
SSP1;Bahamas;2070-2075;Male;89
SSP1;Bahamas;2075-2080;Male;90.7
SSP1;Bahamas;2080-2085;Male;92.4
SSP1;Bahamas;2085-2090;Male;94
SSP1;Bahamas;2090-2095;Male;95.5
SSP1;Bahamas;2095-2100;Male;96.9
SSP1;Bahrain;2020-2025;Male;79.3
SSP1;Bahrain;2025-2030;Male;81.5
SSP1;Bahrain;2030-2035;Male;82.9
SSP1;Bahrain;2035-2040;Male;84.2
SSP1;Bahrain;2040-2045;Male;85.6
SSP1;Bahrain;2045-2050;Male;86.9
SSP1;Bahrain;2050-2055;Male;88.2
SSP1;Bahrain;2055-2060;Male;89.5
SSP1;Bahrain;2060-2065;Male;90.9
SSP1;Bahrain;2065-2070;Male;92.2
SSP1;Bahrain;2070-2075;Male;93.5
SSP1;Bahrain;2075-2080;Male;94.7
SSP1;Bahrain;2080-2085;Male;96
SSP1;Bahrain;2085-2090;Male;97.1
SSP1;Bahrain;2090-2095;Male;98.2
SSP1;Bahrain;2095-2100;Male;99.1
SSP1;Bangladesh;2020-2025;Male;71.4
SSP1;Bangladesh;2025-2030;Male;73.2
SSP1;Bangladesh;2030-2035;Male;74.8
SSP1;Bangladesh;2035-2040;Male;76.4
SSP1;Bangladesh;2040-2045;Male;78
SSP1;Bangladesh;2045-2050;Male;79.5
SSP1;Bangladesh;2050-2055;Male;81.1
SSP1;Bangladesh;2055-2060;Male;82.7
SSP1;Bangladesh;2060-2065;Male;84.2
SSP1;Bangladesh;2065-2070;Male;85.8
SSP1;Bangladesh;2070-2075;Male;87.3
SSP1;Bangladesh;2075-2080;Male;88.9
SSP1;Bangladesh;2080-2085;Male;90.4
SSP1;Bangladesh;2085-2090;Male;92
SSP1;Bangladesh;2090-2095;Male;93.5
SSP1;Bangladesh;2095-2100;Male;95
SSP1;Barbados;2020-2025;Male;76.6
SSP1;Barbados;2025-2030;Male;78.3
SSP1;Barbados;2030-2035;Male;80
SSP1;Barbados;2035-2040;Male;81.6
SSP1;Barbados;2040-2045;Male;83.3
SSP1;Barbados;2045-2050;Male;84.9
SSP1;Barbados;2050-2055;Male;86.5
SSP1;Barbados;2055-2060;Male;88.2
SSP1;Barbados;2060-2065;Male;89.7
SSP1;Barbados;2065-2070;Male;91.4
SSP1;Barbados;2070-2075;Male;93
SSP1;Barbados;2075-2080;Male;94.5
SSP1;Barbados;2080-2085;Male;96
SSP1;Barbados;2085-2090;Male;97.4
SSP1;Barbados;2090-2095;Male;98.6
SSP1;Barbados;2095-2100;Male;99.5
SSP1;Belarus;2020-2025;Male;69.2
SSP1;Belarus;2025-2030;Male;72.5
SSP1;Belarus;2030-2035;Male;74.1
SSP1;Belarus;2035-2040;Male;75.8
SSP1;Belarus;2040-2045;Male;77.4
SSP1;Belarus;2045-2050;Male;79.1
SSP1;Belarus;2050-2055;Male;80.7
SSP1;Belarus;2055-2060;Male;82.4
SSP1;Belarus;2060-2065;Male;84
SSP1;Belarus;2065-2070;Male;85.7
SSP1;Belarus;2070-2075;Male;87.3
SSP1;Belarus;2075-2080;Male;89
SSP1;Belarus;2080-2085;Male;90.6
SSP1;Belarus;2085-2090;Male;92.2
SSP1;Belarus;2090-2095;Male;93.8
SSP1;Belarus;2095-2100;Male;95.3
SSP1;Belgium;2020-2025;Male;80.3
SSP1;Belgium;2025-2030;Male;82.2
SSP1;Belgium;2030-2035;Male;83.7
SSP1;Belgium;2035-2040;Male;85.3
SSP1;Belgium;2040-2045;Male;86.8
SSP1;Belgium;2045-2050;Male;88.4
SSP1;Belgium;2050-2055;Male;89.9
SSP1;Belgium;2055-2060;Male;91.5
SSP1;Belgium;2060-2065;Male;93
SSP1;Belgium;2065-2070;Male;94.5
SSP1;Belgium;2070-2075;Male;95.8
SSP1;Belgium;2075-2080;Male;97.2
SSP1;Belgium;2080-2085;Male;98.6
SSP1;Belgium;2085-2090;Male;99.8
SSP1;Belgium;2090-2095;Male;100.5
SSP1;Belgium;2095-2100;Male;100.5
SSP1;Belize;2020-2025;Male;70.6
SSP1;Belize;2025-2030;Male;74.7
SSP1;Belize;2030-2035;Male;76.6
SSP1;Belize;2035-2040;Male;78.4
SSP1;Belize;2040-2045;Male;80.3
SSP1;Belize;2045-2050;Male;82.2
SSP1;Belize;2050-2055;Male;84.1
SSP1;Belize;2055-2060;Male;86
SSP1;Belize;2060-2065;Male;87.9
SSP1;Belize;2065-2070;Male;89.7
SSP1;Belize;2070-2075;Male;91.7
SSP1;Belize;2075-2080;Male;93.5
SSP1;Belize;2080-2085;Male;95.2
SSP1;Belize;2085-2090;Male;96.8
SSP1;Belize;2090-2095;Male;98.2
SSP1;Belize;2095-2100;Male;99.4
SSP1;Benin;2020-2025;Male;59.5
SSP1;Benin;2025-2030;Male;62.1
SSP1;Benin;2030-2035;Male;63.9
SSP1;Benin;2035-2040;Male;65.6
SSP1;Benin;2040-2045;Male;67.3
SSP1;Benin;2045-2050;Male;69
SSP1;Benin;2050-2055;Male;70.5
SSP1;Benin;2055-2060;Male;72.1
SSP1;Benin;2060-2065;Male;73.7
SSP1;Benin;2065-2070;Male;75.2
SSP1;Benin;2070-2075;Male;76.8
SSP1;Benin;2075-2080;Male;78.3
SSP1;Benin;2080-2085;Male;79.8
SSP1;Benin;2085-2090;Male;81.3
SSP1;Benin;2090-2095;Male;82.9
SSP1;Benin;2095-2100;Male;84.3
SSP1;Bhutan;2020-2025;Male;71.1
SSP1;Bhutan;2025-2030;Male;72.8
SSP1;Bhutan;2030-2035;Male;74.6
SSP1;Bhutan;2035-2040;Male;76.3
SSP1;Bhutan;2040-2045;Male;77.9
SSP1;Bhutan;2045-2050;Male;79.5
SSP1;Bhutan;2050-2055;Male;81.1
SSP1;Bhutan;2055-2060;Male;82.7
SSP1;Bhutan;2060-2065;Male;84.3
SSP1;Bhutan;2065-2070;Male;86
SSP1;Bhutan;2070-2075;Male;87.6
