Scenario;Area;Period;Sex;Years
SSP5;Tajikistan;2075-2080;Male;85.3
SSP5;Tajikistan;2080-2085;Male;86.7
SSP5;Tajikistan;2085-2090;Male;88.1
SSP5;Tajikistan;2090-2095;Male;89.5
SSP5;Tajikistan;2095-2100;Male;90.9
SSP5;Thailand;2020-2025;Male;75.1
SSP5;Thailand;2025-2030;Male;76.3
SSP5;Thailand;2030-2035;Male;77.5
SSP5;Thailand;2035-2040;Male;78.6
SSP5;Thailand;2040-2045;Male;79.7
SSP5;Thailand;2045-2050;Male;80.8
SSP5;Thailand;2050-2055;Male;81.9
SSP5;Thailand;2055-2060;Male;83
SSP5;Thailand;2060-2065;Male;84.2
SSP5;Thailand;2065-2070;Male;85.3
SSP5;Thailand;2070-2075;Male;86.4
SSP5;Thailand;2075-2080;Male;87.5
SSP5;Thailand;2080-2085;Male;88.6
SSP5;Thailand;2085-2090;Male;89.7
SSP5;Thailand;2090-2095;Male;90.8
SSP5;Thailand;2095-2100;Male;91.9
SSP5;The former Yugoslav Republic of Macedonia;2020-2025;Male;73.4
SSP5;The former Yugoslav Republic of Macedonia;2025-2030;Male;77.5
SSP5;The former Yugoslav Republic of Macedonia;2030-2035;Male;79.1
SSP5;The former Yugoslav Republic of Macedonia;2035-2040;Male;80.6
SSP5;The former Yugoslav Republic of Macedonia;2040-2045;Male;82.1
SSP5;The former Yugoslav Republic of Macedonia;2045-2050;Male;83.6
SSP5;The former Yugoslav Republic of Macedonia;2050-2055;Male;85.2
SSP5;The former Yugoslav Republic of Macedonia;2055-2060;Male;86.7
SSP5;The former Yugoslav Republic of Macedonia;2060-2065;Male;88.3
SSP5;The former Yugoslav Republic of Macedonia;2065-2070;Male;89.8
SSP5;The former Yugoslav Republic of Macedonia;2070-2075;Male;91.3
SSP5;The former Yugoslav Republic of Macedonia;2075-2080;Male;92.9
SSP5;The former Yugoslav Republic of Macedonia;2080-2085;Male;94.4
SSP5;The former Yugoslav Republic of Macedonia;2085-2090;Male;95.8
SSP5;The former Yugoslav Republic of Macedonia;2090-2095;Male;97.2
SSP5;The former Yugoslav Republic of Macedonia;2095-2100;Male;98.4
SSP5;Timor-Leste;2020-2025;Male;67.2
SSP5;Timor-Leste;2025-2030;Male;68.5
SSP5;Timor-Leste;2030-2035;Male;69.7
SSP5;Timor-Leste;2035-2040;Male;70.8
SSP5;Timor-Leste;2040-2045;Male;72
SSP5;Timor-Leste;2045-2050;Male;73.1
SSP5;Timor-Leste;2050-2055;Male;74.3
SSP5;Timor-Leste;2055-2060;Male;75.4
SSP5;Timor-Leste;2060-2065;Male;76.5
SSP5;Timor-Leste;2065-2070;Male;77.7
SSP5;Timor-Leste;2070-2075;Male;78.8
SSP5;Timor-Leste;2075-2080;Male;79.9
SSP5;Timor-Leste;2080-2085;Male;81.1
SSP5;Timor-Leste;2085-2090;Male;82.2
SSP5;Timor-Leste;2090-2095;Male;83.3
SSP5;Timor-Leste;2095-2100;Male;84.4
SSP5;Togo;2020-2025;Male;61.5
SSP5;Togo;2025-2030;Male;63
SSP5;Togo;2030-2035;Male;64.6
SSP5;Togo;2035-2040;Male;66.2
SSP5;Togo;2040-2045;Male;67.8
SSP5;Togo;2045-2050;Male;69.3
SSP5;Togo;2050-2055;Male;70.9
SSP5;Togo;2055-2060;Male;72.4
SSP5;Togo;2060-2065;Male;74
SSP5;Togo;2065-2070;Male;75.5
SSP5;Togo;2070-2075;Male;77
SSP5;Togo;2075-2080;Male;78.6
SSP5;Togo;2080-2085;Male;80.1
SSP5;Togo;2085-2090;Male;81.6
SSP5;Togo;2090-2095;Male;83.2
SSP5;Togo;2095-2100;Male;84.7
SSP5;Tonga;2020-2025;Male;69.8
SSP5;Tonga;2025-2030;Male;71.8
SSP5;Tonga;2030-2035;Male;73.6
SSP5;Tonga;2035-2040;Male;75.5
SSP5;Tonga;2040-2045;Male;77.3
SSP5;Tonga;2045-2050;Male;79.2
SSP5;Tonga;2050-2055;Male;81
SSP5;Tonga;2055-2060;Male;82.9
SSP5;Tonga;2060-2065;Male;84.7
SSP5;Tonga;2065-2070;Male;86.5
SSP5;Tonga;2070-2075;Male;88.3
SSP5;Tonga;2075-2080;Male;90.1
SSP5;Tonga;2080-2085;Male;91.9
SSP5;Tonga;2085-2090;Male;93.6
SSP5;Tonga;2090-2095;Male;95.3
SSP5;Tonga;2095-2100;Male;96.8
SSP5;Trinidad and Tobago;2020-2025;Male;71.9
SSP5;Trinidad and Tobago;2025-2030;Male;73.9
SSP5;Trinidad and Tobago;2030-2035;Male;75.5
SSP5;Trinidad and Tobago;2035-2040;Male;77
SSP5;Trinidad and Tobago;2040-2045;Male;78.6
SSP5;Trinidad and Tobago;2045-2050;Male;80.1
SSP5;Trinidad and Tobago;2050-2055;Male;81.7
SSP5;Trinidad and Tobago;2055-2060;Male;83.3
SSP5;Trinidad and Tobago;2060-2065;Male;84.8
SSP5;Trinidad and Tobago;2065-2070;Male;86.4
SSP5;Trinidad and Tobago;2070-2075;Male;87.9
SSP5;Trinidad and Tobago;2075-2080;Male;89.4
SSP5;Trinidad and Tobago;2080-2085;Male;91
SSP5;Trinidad and Tobago;2085-2090;Male;92.5
SSP5;Trinidad and Tobago;2090-2095;Male;93.9
SSP5;Trinidad and Tobago;2095-2100;Male;95.3
SSP5;Tunisia;2020-2025;Male;72.8
SSP5;Tunisia;2025-2030;Male;75.9
SSP5;Tunisia;2030-2035;Male;77.4
SSP5;Tunisia;2035-2040;Male;79
SSP5;Tunisia;2040-2045;Male;80.5
SSP5;Tunisia;2045-2050;Male;82
SSP5;Tunisia;2050-2055;Male;83.5
SSP5;Tunisia;2055-2060;Male;85
SSP5;Tunisia;2060-2065;Male;86.6
SSP5;Tunisia;2065-2070;Male;88.1
SSP5;Tunisia;2070-2075;Male;89.6
SSP5;Tunisia;2075-2080;Male;91.1
SSP5;Tunisia;2080-2085;Male;92.6
SSP5;Tunisia;2085-2090;Male;94
SSP5;Tunisia;2090-2095;Male;95.4
SSP5;Tunisia;2095-2100;Male;96.8
SSP5;Turkey;2020-2025;Male;74.7
SSP5;Turkey;2025-2030;Male;76.9
SSP5;Turkey;2030-2035;Male;78.3
SSP5;Turkey;2035-2040;Male;79.6
SSP5;Turkey;2040-2045;Male;81
SSP5;Turkey;2045-2050;Male;82.4
SSP5;Turkey;2050-2055;Male;83.8
SSP5;Turkey;2055-2060;Male;85.2
SSP5;Turkey;2060-2065;Male;86.6
SSP5;Turkey;2065-2070;Male;88
SSP5;Turkey;2070-2075;Male;89.3
SSP5;Turkey;2075-2080;Male;90.7
SSP5;Turkey;2080-2085;Male;92.1
SSP5;Turkey;2085-2090;Male;93.4
SSP5;Turkey;2090-2095;Male;94.8
SSP5;Turkey;2095-2100;Male;96
SSP5;Turkmenistan;2020-2025;Male;67
SSP5;Turkmenistan;2025-2030;Male;68.6
SSP5;Turkmenistan;2030-2035;Male;70.2
SSP5;Turkmenistan;2035-2040;Male;71.7
SSP5;Turkmenistan;2040-2045;Male;73.3
SSP5;Turkmenistan;2045-2050;Male;74.8
SSP5;Turkmenistan;2050-2055;Male;76.4
SSP5;Turkmenistan;2055-2060;Male;77.9
SSP5;Turkmenistan;2060-2065;Male;79.4
SSP5;Turkmenistan;2065-2070;Male;81
SSP5;Turkmenistan;2070-2075;Male;82.5
SSP5;Turkmenistan;2075-2080;Male;84.1
SSP5;Turkmenistan;2080-2085;Male;85.6
SSP5;Turkmenistan;2085-2090;Male;87.2
SSP5;Turkmenistan;2090-2095;Male;88.7
SSP5;Turkmenistan;2095-2100;Male;90.2
SSP5;Uganda;2020-2025;Male;63.5
SSP5;Uganda;2025-2030;Male;67.1
SSP5;Uganda;2030-2035;Male;69
SSP5;Uganda;2035-2040;Male;70.8
SSP5;Uganda;2040-2045;Male;72.7
SSP5;Uganda;2045-2050;Male;75.5
SSP5;Uganda;2050-2055;Male;76.8
SSP5;Uganda;2055-2060;Male;78.1
SSP5;Uganda;2060-2065;Male;79.4
SSP5;Uganda;2065-2070;Male;80.7
SSP5;Uganda;2070-2075;Male;82.1
SSP5;Uganda;2075-2080;Male;83.4
SSP5;Uganda;2080-2085;Male;84.8
SSP5;Uganda;2085-2090;Male;86.1
SSP5;Uganda;2090-2095;Male;87.7
SSP5;Uganda;2095-2100;Male;89
SSP5;Ukraine;2020-2025;Male;67.3
SSP5;Ukraine;2025-2030;Male;72.1
SSP5;Ukraine;2030-2035;Male;73.6
SSP5;Ukraine;2035-2040;Male;75.1
SSP5;Ukraine;2040-2045;Male;76.6
SSP5;Ukraine;2045-2050;Male;78.1
SSP5;Ukraine;2050-2055;Male;79.7
SSP5;Ukraine;2055-2060;Male;81.2
SSP5;Ukraine;2060-2065;Male;82.8
SSP5;Ukraine;2065-2070;Male;84.4
SSP5;Ukraine;2070-2075;Male;86
SSP5;Ukraine;2075-2080;Male;87.5
SSP5;Ukraine;2080-2085;Male;89.1
SSP5;Ukraine;2085-2090;Male;90.7
SSP5;Ukraine;2090-2095;Male;92.2
SSP5;Ukraine;2095-2100;Male;93.7
SSP5;United Arab Emirates;2020-2025;Male;78.7
SSP5;United Arab Emirates;2025-2030;Male;81
SSP5;United Arab Emirates;2030-2035;Male;82.4
SSP5;United Arab Emirates;2035-2040;Male;83.8
SSP5;United Arab Emirates;2040-2045;Male;85.2
SSP5;United Arab Emirates;2045-2050;Male;86.6
SSP5;United Arab Emirates;2050-2055;Male;88
SSP5;United Arab Emirates;2055-2060;Male;89.4
SSP5;United Arab Emirates;2060-2065;Male;90.8
SSP5;United Arab Emirates;2065-2070;Male;92.2
SSP5;United Arab Emirates;2070-2075;Male;93.5
SSP5;United Arab Emirates;2075-2080;Male;94.9
SSP5;United Arab Emirates;2080-2085;Male;96.2
SSP5;United Arab Emirates;2085-2090;Male;97.4
SSP5;United Arab Emirates;2090-2095;Male;98.6
SSP5;United Arab Emirates;2095-2100;Male;99.5
SSP5;United Kingdom of Great Britain and Northern Ireland;2020-2025;Male;80.4
SSP5;United Kingdom of Great Britain and Northern Ireland;2025-2030;Male;82.5
SSP5;United Kingdom of Great Britain and Northern Ireland;2030-2035;Male;84
SSP5;United Kingdom of Great Britain and Northern Ireland;2035-2040;Male;85.5
SSP5;United Kingdom of Great Britain and Northern Ireland;2040-2045;Male;87.1
SSP5;United Kingdom of Great Britain and Northern Ireland;2045-2050;Male;88.6
SSP5;United Kingdom of Great Britain and Northern Ireland;2050-2055;Male;90.2
SSP5;United Kingdom of Great Britain and Northern Ireland;2055-2060;Male;91.7
SSP5;United Kingdom of Great Britain and Northern Ireland;2060-2065;Male;93.2
SSP5;United Kingdom of Great Britain and Northern Ireland;2065-2070;Male;94.7
SSP5;United Kingdom of Great Britain and Northern Ireland;2070-2075;Male;96.1
SSP5;United Kingdom of Great Britain and Northern Ireland;2075-2080;Male;97.4
SSP5;United Kingdom of Great Britain and Northern Ireland;2080-2085;Male;98.6
SSP5;United Kingdom of Great Britain and Northern Ireland;2085-2090;Male;99.7
SSP5;United Kingdom of Great Britain and Northern Ireland;2090-2095;Male;100.5
SSP5;United Kingdom of Great Britain and Northern Ireland;2095-2100;Male;101
SSP5;United Republic of Tanzania;2020-2025;Male;66.9
SSP5;United Republic of Tanzania;2025-2030;Male;70.7
SSP5;United Republic of Tanzania;2030-2035;Male;72.5
SSP5;United Republic of Tanzania;2035-2040;Male;74.4
SSP5;United Republic of Tanzania;2040-2045;Male;76.3
SSP5;United Republic of Tanzania;2045-2050;Male;79.1
SSP5;United Republic of Tanzania;2050-2055;Male;80.5
SSP5;United Republic of Tanzania;2055-2060;Male;81.8
SSP5;United Republic of Tanzania;2060-2065;Male;83.1
SSP5;United Republic of Tanzania;2065-2070;Male;84.4
SSP5;United Republic of Tanzania;2070-2075;Male;85.7
SSP5;United Republic of Tanzania;2075-2080;Male;87.1
SSP5;United Republic of Tanzania;2080-2085;Male;88.3
SSP5;United Republic of Tanzania;2085-2090;Male;89.6
SSP5;United Republic of Tanzania;2090-2095;Male;90.9
SSP5;United Republic of Tanzania;2095-2100;Male;92.2
SSP5;United States Virgin Islands;2020-2025;Male;71.2
SSP5;United States Virgin Islands;2025-2030;Male;74
SSP5;United States Virgin Islands;2030-2035;Male;76.1
SSP5;United States Virgin Islands;2035-2040;Male;78.2
SSP5;United States Virgin Islands;2040-2045;Male;80.3
SSP5;United States Virgin Islands;2045-2050;Male;82.4
SSP5;United States Virgin Islands;2050-2055;Male;84.5
SSP5;United States Virgin Islands;2055-2060;Male;86.6
SSP5;United States Virgin Islands;2060-2065;Male;88.7
SSP5;United States Virgin Islands;2065-2070;Male;90.7
SSP5;United States Virgin Islands;2070-2075;Male;92.8
SSP5;United States Virgin Islands;2075-2080;Male;94.8
SSP5;United States Virgin Islands;2080-2085;Male;96.7
SSP5;United States Virgin Islands;2085-2090;Male;98.3
SSP5;United States Virgin Islands;2090-2095;Male;98.7
SSP5;United States Virgin Islands;2095-2100;Male;98.8
SSP5;United States of America;2020-2025;Male;76.6
SSP5;United States of America;2025-2030;Male;79.6
SSP5;United States of America;2030-2035;Male;81.2
SSP5;United States of America;2035-2040;Male;82.8
SSP5;United States of America;2040-2045;Male;84.3
SSP5;United States of America;2045-2050;Male;85.9
SSP5;United States of America;2050-2055;Male;87.5
SSP5;United States of America;2055-2060;Male;89
SSP5;United States of America;2060-2065;Male;90.6
SSP5;United States of America;2065-2070;Male;92.2
SSP5;United States of America;2070-2075;Male;93.7
SSP5;United States of America;2075-2080;Male;95.2
SSP5;United States of America;2080-2085;Male;96.7
SSP5;United States of America;2085-2090;Male;98
SSP5;United States of America;2090-2095;Male;99.2
SSP5;United States of America;2095-2100;Male;100.1
SSP5;Uruguay;2020-2025;Male;74.8
SSP5;Uruguay;2025-2030;Male;77.1
SSP5;Uruguay;2030-2035;Male;78.9
SSP5;Uruguay;2035-2040;Male;80.6
SSP5;Uruguay;2040-2045;Male;82.4
SSP5;Uruguay;2045-2050;Male;84.1
SSP5;Uruguay;2050-2055;Male;85.9
SSP5;Uruguay;2055-2060;Male;87.6
SSP5;Uruguay;2060-2065;Male;89.4
SSP5;Uruguay;2065-2070;Male;91.2
SSP5;Uruguay;2070-2075;Male;92.9
SSP5;Uruguay;2075-2080;Male;94.6
SSP5;Uruguay;2080-2085;Male;96.2
SSP5;Uruguay;2085-2090;Male;97.7
SSP5;Uruguay;2090-2095;Male;98.9
SSP5;Uruguay;2095-2100;Male;99.8
SSP5;Uzbekistan;2020-2025;Male;69.7
SSP5;Uzbekistan;2025-2030;Male;71.4
SSP5;Uzbekistan;2030-2035;Male;73
SSP5;Uzbekistan;2035-2040;Male;74.5
SSP5;Uzbekistan;2040-2045;Male;76.1
SSP5;Uzbekistan;2045-2050;Male;77.6
SSP5;Uzbekistan;2050-2055;Male;79.2
SSP5;Uzbekistan;2055-2060;Male;80.8
SSP5;Uzbekistan;2060-2065;Male;82.3
SSP5;Uzbekistan;2065-2070;Male;83.9
SSP5;Uzbekistan;2070-2075;Male;85.4
SSP5;Uzbekistan;2075-2080;Male;87
SSP5;Uzbekistan;2080-2085;Male;88.5
SSP5;Uzbekistan;2085-2090;Male;90.1
SSP5;Uzbekistan;2090-2095;Male;91.6
SSP5;Uzbekistan;2095-2100;Male;93.1
SSP5;Vanuatu;2020-2025;Male;69.5
SSP5;Vanuatu;2025-2030;Male;71.1
SSP5;Vanuatu;2030-2035;Male;72.8
SSP5;Vanuatu;2035-2040;Male;74.5
SSP5;Vanuatu;2040-2045;Male;76.1
SSP5;Vanuatu;2045-2050;Male;77.8
SSP5;Vanuatu;2050-2055;Male;79.5
SSP5;Vanuatu;2055-2060;Male;81.2
SSP5;Vanuatu;2060-2065;Male;82.9
SSP5;Vanuatu;2065-2070;Male;84.6
SSP5;Vanuatu;2070-2075;Male;86.3
SSP5;Vanuatu;2075-2080;Male;88
SSP5;Vanuatu;2080-2085;Male;89.7
SSP5;Vanuatu;2085-2090;Male;91.4
SSP5;Vanuatu;2090-2095;Male;93
SSP5;Vanuatu;2095-2100;Male;94.6
SSP5;Venezuela (Bolivarian Republic of);2020-2025;Male;68.8
SSP5;Venezuela (Bolivarian Republic of);2025-2030;Male;72
SSP5;Venezuela (Bolivarian Republic of);2030-2035;Male;73.9
SSP5;Venezuela (Bolivarian Republic of);2035-2040;Male;75.8
SSP5;Venezuela (Bolivarian Republic of);2040-2045;Male;77.7
SSP5;Venezuela (Bolivarian Republic of);2045-2050;Male;79.6
SSP5;Venezuela (Bolivarian Republic of);2050-2055;Male;81.5
SSP5;Venezuela (Bolivarian Republic of);2055-2060;Male;83.4
SSP5;Venezuela (Bolivarian Republic of);2060-2065;Male;85.3
SSP5;Venezuela (Bolivarian Republic of);2065-2070;Male;87.1
SSP5;Venezuela (Bolivarian Republic of);2070-2075;Male;89
SSP5;Venezuela (Bolivarian Republic of);2075-2080;Male;90.9
SSP5;Venezuela (Bolivarian Republic of);2080-2085;Male;92.8
SSP5;Venezuela (Bolivarian Republic of);2085-2090;Male;94.6
SSP5;Venezuela (Bolivarian Republic of);2090-2095;Male;96.3
SSP5;Venezuela (Bolivarian Republic of);2095-2100;Male;97.8
SSP5;Viet Nam;2020-2025;Male;71.2
SSP5;Viet Nam;2025-2030;Male;73.2
SSP5;Viet Nam;2030-2035;Male;75.1
SSP5;Viet Nam;2035-2040;Male;77
SSP5;Viet Nam;2040-2045;Male;79
SSP5;Viet Nam;2045-2050;Male;80.9
SSP5;Viet Nam;2050-2055;Male;82.8
SSP5;Viet Nam;2055-2060;Male;84.7
SSP5;Viet Nam;2060-2065;Male;86.6
SSP5;Viet Nam;2065-2070;Male;88.5
SSP5;Viet Nam;2070-2075;Male;90.4
SSP5;Viet Nam;2075-2080;Male;92.3
SSP5;Viet Nam;2080-2085;Male;94.1
SSP5;Viet Nam;2085-2090;Male;95.8
SSP5;Viet Nam;2090-2095;Male;97.4
SSP5;Viet Nam;2095-2100;Male;98.7
SSP5;Western Sahara;2020-2025;Male;69.8
SSP5;Western Sahara;2025-2030;Male;71.2
SSP5;Western Sahara;2030-2035;Male;72.7
SSP5;Western Sahara;2035-2040;Male;74.1
SSP5;Western Sahara;2040-2045;Male;75.5
SSP5;Western Sahara;2045-2050;Male;76.9
SSP5;Western Sahara;2050-2055;Male;78.3
SSP5;Western Sahara;2055-2060;Male;79.7
SSP5;Western Sahara;2060-2065;Male;81.1
SSP5;Western Sahara;2065-2070;Male;82.5
SSP5;Western Sahara;2070-2075;Male;83.8
SSP5;Western Sahara;2075-2080;Male;85.2
SSP5;Western Sahara;2080-2085;Male;86.5
SSP5;Western Sahara;2085-2090;Male;87.8
SSP5;Western Sahara;2090-2095;Male;89.1
SSP5;Western Sahara;2095-2100;Male;90.5
SSP5;World;2020-2025;Male;70.5
SSP5;World;2025-2030;Male;73.1
SSP5;World;2030-2035;Male;74.7
SSP5;World;2035-2040;Male;76.2
SSP5;World;2040-2045;Male;77.7
SSP5;World;2045-2050;Male;79.3
SSP5;World;2050-2055;Male;80.7
SSP5;World;2055-2060;Male;82.1
SSP5;World;2060-2065;Male;83.5
SSP5;World;2065-2070;Male;84.9
SSP5;World;2070-2075;Male;86.3
SSP5;World;2075-2080;Male;87.6
SSP5;World;2080-2085;Male;88.9
SSP5;World;2085-2090;Male;90.3
SSP5;World;2090-2095;Male;91.5
SSP5;World;2095-2100;Male;92.7
SSP5;Yemen;2020-2025;Male;62.3
SSP5;Yemen;2025-2030;Male;65.6
SSP5;Yemen;2030-2035;Male;67.3
SSP5;Yemen;2035-2040;Male;68.9
SSP5;Yemen;2040-2045;Male;70.5
SSP5;Yemen;2045-2050;Male;72
SSP5;Yemen;2050-2055;Male;73.5
SSP5;Yemen;2055-2060;Male;75
SSP5;Yemen;2060-2065;Male;76.4
SSP5;Yemen;2065-2070;Male;77.9
SSP5;Yemen;2070-2075;Male;79.4
SSP5;Yemen;2075-2080;Male;80.8
SSP5;Yemen;2080-2085;Male;82.3
SSP5;Yemen;2085-2090;Male;83.8
SSP5;Yemen;2090-2095;Male;85.3
SSP5;Yemen;2095-2100;Male;86.8
SSP5;Zambia;2020-2025;Male;61.9
SSP5;Zambia;2025-2030;Male;66.1
SSP5;Zambia;2030-2035;Male;67.9
SSP5;Zambia;2035-2040;Male;69.6
SSP5;Zambia;2040-2045;Male;71.4
SSP5;Zambia;2045-2050;Male;74.1
SSP5;Zambia;2050-2055;Male;75.4
SSP5;Zambia;2055-2060;Male;76.6
SSP5;Zambia;2060-2065;Male;77.8
SSP5;Zambia;2065-2070;Male;79
SSP5;Zambia;2070-2075;Male;80.2
SSP5;Zambia;2075-2080;Male;81.4
SSP5;Zambia;2080-2085;Male;82.7
SSP5;Zambia;2085-2090;Male;83.9
SSP5;Zambia;2090-2095;Male;85
SSP5;Zambia;2095-2100;Male;86.2
SSP5;Zimbabwe;2020-2025;Male;60.5
SSP5;Zimbabwe;2025-2030;Male;65.5
SSP5;Zimbabwe;2030-2035;Male;67.6
SSP5;Zimbabwe;2035-2040;Male;69.7
SSP5;Zimbabwe;2040-2045;Male;71.7
SSP5;Zimbabwe;2045-2050;Male;74.7
SSP5;Zimbabwe;2050-2055;Male;76.2
SSP5;Zimbabwe;2055-2060;Male;77.7
SSP5;Zimbabwe;2060-2065;Male;79.2
SSP5;Zimbabwe;2065-2070;Male;80.6
SSP5;Zimbabwe;2070-2075;Male;82.1
SSP5;Zimbabwe;2075-2080;Male;83.6
SSP5;Zimbabwe;2080-2085;Male;85.1
SSP5;Zimbabwe;2085-2090;Male;86.5
SSP5;Zimbabwe;2090-2095;Male;87.9
SSP5;Zimbabwe;2095-2100;Male;89.3
SSP5;Afghanistan;2020-2025;Female;66.2
SSP5;Afghanistan;2025-2030;Female;68.5
SSP5;Afghanistan;2030-2035;Female;69.8
SSP5;Afghanistan;2035-2040;Female;71
SSP5;Afghanistan;2040-2045;Female;72.2
SSP5;Afghanistan;2045-2050;Female;73.4
SSP5;Afghanistan;2050-2055;Female;74.6
SSP5;Afghanistan;2055-2060;Female;75.7
SSP5;Afghanistan;2060-2065;Female;76.9
SSP5;Afghanistan;2065-2070;Female;78
SSP5;Afghanistan;2070-2075;Female;79.2
SSP5;Afghanistan;2075-2080;Female;80.4
SSP5;Afghanistan;2080-2085;Female;81.5
SSP5;Afghanistan;2085-2090;Female;82.7
SSP5;Afghanistan;2090-2095;Female;83.8
SSP5;Afghanistan;2095-2100;Female;84.9
SSP5;Albania;2020-2025;Female;80.9
SSP5;Albania;2025-2030;Female;84.6
SSP5;Albania;2030-2035;Female;86.1
SSP5;Albania;2035-2040;Female;87.6
SSP5;Albania;2040-2045;Female;89.1
SSP5;Albania;2045-2050;Female;90.6
SSP5;Albania;2050-2055;Female;92.1
SSP5;Albania;2055-2060;Female;93.6
SSP5;Albania;2060-2065;Female;95
SSP5;Albania;2065-2070;Female;96.3
SSP5;Albania;2070-2075;Female;97.6
SSP5;Albania;2075-2080;Female;98.7
SSP5;Albania;2080-2085;Female;99.6
SSP5;Albania;2085-2090;Female;100.4
SSP5;Albania;2090-2095;Female;101.1
SSP5;Albania;2095-2100;Female;101.6
SSP5;Algeria;2020-2025;Female;78.3
SSP5;Algeria;2025-2030;Female;80.2
SSP5;Algeria;2030-2035;Female;81.7
SSP5;Algeria;2035-2040;Female;83.2
SSP5;Algeria;2040-2045;Female;84.7
SSP5;Algeria;2045-2050;Female;86.2
SSP5;Algeria;2050-2055;Female;87.7
SSP5;Algeria;2055-2060;Female;89.2
SSP5;Algeria;2060-2065;Female;90.7
SSP5;Algeria;2065-2070;Female;92.1
SSP5;Algeria;2070-2075;Female;93.5
SSP5;Algeria;2075-2080;Female;94.9
SSP5;Algeria;2080-2085;Female;96.2
SSP5;Algeria;2085-2090;Female;97.5
SSP5;Algeria;2090-2095;Female;98.6
SSP5;Algeria;2095-2100;Female;99.5
SSP5;Angola;2020-2025;Female;65.3
SSP5;Angola;2025-2030;Female;67
SSP5;Angola;2030-2035;Female;68.5
SSP5;Angola;2035-2040;Female;69.9
SSP5;Angola;2040-2045;Female;71.3
SSP5;Angola;2045-2050;Female;72.6
SSP5;Angola;2050-2055;Female;74
SSP5;Angola;2055-2060;Female;75.3
SSP5;Angola;2060-2065;Female;76.7
SSP5;Angola;2065-2070;Female;78.1
SSP5;Angola;2070-2075;Female;79.4
SSP5;Angola;2075-2080;Female;80.7
SSP5;Angola;2080-2085;Female;82
SSP5;Angola;2085-2090;Female;83.3
SSP5;Angola;2090-2095;Female;84.5
SSP5;Angola;2095-2100;Female;85.7
SSP5;Antigua and Barbuda;2020-2025;Female;81.8
SSP5;Antigua and Barbuda;2025-2030;Female;82.9
SSP5;Antigua and Barbuda;2030-2035;Female;83.9
SSP5;Antigua and Barbuda;2035-2040;Female;84.9
SSP5;Antigua and Barbuda;2040-2045;Female;85.9
SSP5;Antigua and Barbuda;2045-2050;Female;86.9
SSP5;Antigua and Barbuda;2050-2055;Female;87.9
SSP5;Antigua and Barbuda;2055-2060;Female;88.8
SSP5;Antigua and Barbuda;2060-2065;Female;89.8
SSP5;Antigua and Barbuda;2065-2070;Female;90.8
SSP5;Antigua and Barbuda;2070-2075;Female;91.8
SSP5;Antigua and Barbuda;2075-2080;Female;92.8
SSP5;Antigua and Barbuda;2080-2085;Female;93.7
SSP5;Antigua and Barbuda;2085-2090;Female;94.7
SSP5;Antigua and Barbuda;2090-2095;Female;95.6
SSP5;Antigua and Barbuda;2095-2100;Female;96.5
SSP5;Argentina;2020-2025;Female;80.7
SSP5;Argentina;2025-2030;Female;83.5
SSP5;Argentina;2030-2035;Female;85.1
SSP5;Argentina;2035-2040;Female;86.7
SSP5;Argentina;2040-2045;Female;88.3
SSP5;Argentina;2045-2050;Female;89.9
SSP5;Argentina;2050-2055;Female;91.5
SSP5;Argentina;2055-2060;Female;93
SSP5;Argentina;2060-2065;Female;94.5
SSP5;Argentina;2065-2070;Female;95.9
SSP5;Argentina;2070-2075;Female;97.3
SSP5;Argentina;2075-2080;Female;98.5
SSP5;Argentina;2080-2085;Female;99.6
SSP5;Argentina;2085-2090;Female;100.5
SSP5;Argentina;2090-2095;Female;101.2
SSP5;Argentina;2095-2100;Female;101.8
SSP5;Armenia;2020-2025;Female;79.3
SSP5;Armenia;2025-2030;Female;82.2
SSP5;Armenia;2030-2035;Female;83.6
SSP5;Armenia;2035-2040;Female;85
SSP5;Armenia;2040-2045;Female;86.4
SSP5;Armenia;2045-2050;Female;87.8
SSP5;Armenia;2050-2055;Female;89.2
SSP5;Armenia;2055-2060;Female;90.6
SSP5;Armenia;2060-2065;Female;92
SSP5;Armenia;2065-2070;Female;93.3
SSP5;Armenia;2070-2075;Female;94.6
SSP5;Armenia;2075-2080;Female;95.9
SSP5;Armenia;2080-2085;Female;97
SSP5;Armenia;2085-2090;Female;98.1
SSP5;Armenia;2090-2095;Female;99
SSP5;Armenia;2095-2100;Female;99.8
SSP5;Aruba;2020-2025;Female;79.2
SSP5;Aruba;2025-2030;Female;82
SSP5;Aruba;2030-2035;Female;83.6
SSP5;Aruba;2035-2040;Female;85.2
SSP5;Aruba;2040-2045;Female;86.9
SSP5;Aruba;2045-2050;Female;88.5
SSP5;Aruba;2050-2055;Female;90.1
SSP5;Aruba;2055-2060;Female;91.6
SSP5;Aruba;2060-2065;Female;93.2
SSP5;Aruba;2065-2070;Female;94.7
SSP5;Aruba;2070-2075;Female;96.1
SSP5;Aruba;2075-2080;Female;97.5
SSP5;Aruba;2080-2085;Female;98.6
SSP5;Aruba;2085-2090;Female;99.6
SSP5;Aruba;2090-2095;Female;100.4
SSP5;Aruba;2095-2100;Female;101
SSP5;Australia;2020-2025;Female;86.8
SSP5;Australia;2025-2030;Female;88.2
SSP5;Australia;2030-2035;Female;89.8
SSP5;Australia;2035-2040;Female;91.3
