"iso3","year","conflict","trade","exp_health","exp_edu"
"AFG",1990,1,-2.0788323103938,-0.538070775503351,-1.29138813237792
"AFG",1991,1,-2.20381975464433,-0.456930032657853,-1.41310267265225
"AFG",1992,1,-2.23397988436798,-0.681778749065201,-1.14325037869126
"AFG",1993,1,-2.03296987067846,-0.476440983526534,-1.30014094754258
"AFG",1994,1,-2.14669671185372,-0.981215868455887,-0.871218111113514
"AFG",1995,1,-2.08478016553914,-0.855104224993954,-0.93259883713401
"AFG",1996,1,-2.33616183876033,-0.591122338707514,-0.950635261808559
"AFG",1997,1,-2.22233346426246,-0.931611594145709,-0.8400973238617
"AFG",1998,1,-2.21405695509691,-0.820118653069973,-0.770514794828741
"AFG",1999,1,-2.03782280660038,-0.769156554770783,-0.769233465918325
"AFG",2000,1,-2.15511439790266,-0.709032880073269,-0.726541118285513
"AFG",2001,1,-1.98275450795105,-1.16789559722339,-0.605493700819471
"AFG",2002,1,-2.20893569224599,-1.03973516653722,-0.0916103097314392
"AFG",2003,1,-2.19495736920484,-0.971300975896114,-0.368413356810924
"AFG",2004,1,-2.1353893771497,-1.08020362073618,-0.157966233139246
"AFG",2005,1,-2.33529927250069,-0.948096328300774,-0.198670849277242
"AFG",2006,1,-2.22771745653173,-1.1680705665381,0.0725909054779174
"AFG",2007,1,-2.14487431317732,-1.20777898601598,0.138295979041357
"AFG",2008,1,-2.29628901797019,-0.998980514134678,0.0341727939036168
"AFG",2009,1,-2.52304512263356,-0.822791294178852,0.181912663757964
"AFG",2010,1,-2.01867753314289,-1.27098482457158,0.32466941269092
"AFG",2011,1,-2.4281345446966,-1.20472081806296,0.462622315714581
"AFG",2012,1,-2.48098091465149,-1.06000512322781,0.326616561020236
"AFG",2013,1,-2.54968992542906,-1.2717942254485,0.750739302809175
"AFG",2014,1,-2.16261251795214,-1.42518551666916,0.72519291330512
"AFG",2015,1,-2.26628549951383,-1.52048113248528,0.531533959062638
"AFG",2016,1,-2.29810739035868,-1.39681656730722,0.902691023028221
"AFG",2017,1,-2.29950371522015,-1.31180279822127,0.71428926728127
"AFG",2018,1,-2.30442931961601,-1.33571501689746,0.566516802344678
"AFG",2019,1,-2.53586568634076,-1.34246561382135,1.12593258248496
"AFG",2020,1,-2.49250485855016,-1.28095784311287,0.878657103334891
"AFG",2021,1,-2.42133680100767,-1.50915259263236,1.01096775926513
"ALB",1990,0,-2.61183239866579,-1.67388375911194,-1.17857673193704
"ALB",1991,0,-2.6715076083558,-1.57234693597917,-1.23626570396956
"ALB",1992,0,-1.77674933096834,-2.14319056676857,-1.31468625810976
"ALB",1993,0,-2.05453958817296,-2.01036034747038,-1.23346086585748
"ALB",1994,0,-2.39674799787644,-1.72561515070439,-1.05390593006253
"ALB",1995,0,-2.47853684917963,-1.85579976286349,-1.17206060322243
"ALB",1996,0,-2.52115580599808,-1.69663534912264,-1.33893663962237
"ALB",1997,0,-2.51271275868564,-1.69423399233408,-1.06897682624679
"ALB",1998,0,-2.47044094478557,-1.81040557382731,-1.26816826788605
"ALB",1999,1,-2.4272384219256,-1.74020304569527,-1.38941852395857
"ALB",2000,0,-2.25622626781625,-1.64029141921378,-1.50261482261666
"ALB",2001,0,-2.21788135065341,-1.62971256510866,-1.59343950988373
"ALB",2002,0,-2.19284522127213,-1.37993424756931,-1.70361541730216
"ALB",2003,0,-2.21131504858148,-1.70014892268054,-1.44793727802762
"ALB",2004,0,-2.21098574251069,-1.65826933860434,-1.33998245598158
"ALB",2005,0,-2.16456265130669,-1.48512735914495,-1.87557441186673
"ALB",2006,0,-2.12474984869316,-1.51585882741766,-1.65136476183584
"ALB",2007,0,-2.0255319086198,-1.75262778333938,-1.54214866991153
"ALB",2008,0,-2.08850158590804,-1.97033979651993,-1.4076105801609
"ALB",2009,0,-2.11522788015455,-1.49734419455227,-1.86219322285589
"ALB",2010,0,-2.09873628191746,-1.58238908460998,-1.70962638035149
"ALB",2011,0,-2.04690822713444,-1.60573691814781,-1.7380400327838
"ALB",2012,0,-2.09911179456906,-1.5689686322933,-1.46431759283304
"ALB",2013,0,-2.10633447999727,-1.51522006337214,-1.69874202408301
"ALB",2014,0,-2.11164697495917,-1.51038835243656,-1.63812917408366
"ALB",2015,0,-2.15354632776106,-1.45586095648406,-1.73562759707638
"ALB",2016,0,-2.11849869840244,-1.42241452908747,-1.80906117648262
"ALB",2017,0,-2.08019591357739,-1.45314413857032,-1.69809616813622
"ALB",2018,0,-2.09574437945555,-1.40877289163534,-1.78371155784744
"ALB",2019,0,-2.10172839356964,-1.26626847134676,-2.16681084369219
"ALB",2020,0,-2.30360499433042,-1.55520409009713,-1.58105792675267
"ALB",2021,0,-2.10469376886073,-1.27303863979664,-2.09143373954233
"DZA",1990,0,-2.46672331694798,-0.796745665397842,0.181979613384156
"DZA",1991,1,-2.40230247488527,-0.604669318747191,-0.565584919739409
"DZA",1992,1,-2.45444836701497,-0.62382789269108,-0.31927659669332
"DZA",1993,1,-2.52071839917253,-0.508712019973921,-0.416036296328435
"DZA",1994,1,-2.46361778157965,-0.793283898845178,-0.331338305939787
"DZA",1995,1,-2.36705698167766,-0.813725686062538,-0.533281476545532
"DZA",1996,1,-2.38810592414373,-0.738064051343261,-0.512347206610505
"DZA",1997,1,-2.40917184557992,-0.710710554947406,-0.576481819110271
"DZA",1998,1,-2.51797913124324,-0.619501137740757,-0.411428758851668
"DZA",1999,1,-2.42844866970769,-0.596277965698379,-0.593236400303932
"DZA",2000,1,-2.26388953439878,-0.698498874794403,-0.810019722449405
